# era5_prcp_-0.17_31.37  era5_prcp_-1.86_34.52  era5_prcp_-1.94_35.1  era5_prcp_-1.83_30.42
1.425 0.000 0.000 0.003
0.305 0.000 0.000 0.000
2.376 0.013 0.036 0.017
1.097 0.008 0.007 0.004
9.094 0.000 0.002 0.358
1.090 0.097 0.157 0.002
3.731 4.561 9.731 0.040
4.872 7.322 9.942 0.756
8.116 0.136 0.948 0.162
1.720 12.966 10.235 2.459
5.197 0.151 0.873 0.742
13.493 12.145 23.956 12.903
11.747 2.492 0.266 18.994
3.030 0.744 0.364 8.360
1.539 0.102 0.131 0.347
1.236 0.926 2.086 0.225
0.632 1.236 0.601 0.453
3.356 0.080 0.263 0.850
4.073 0.077 0.292 2.824
0.910 0.003 0.137 0.180
2.881 0.000 0.087 0.002
4.430 8.839 5.180 0.120
7.398 4.927 2.735 0.213
2.625 0.156 0.173 0.294
15.992 3.916 0.302 5.160
4.401 0.828 0.522 1.578
1.777 0.472 0.355 1.223
0.986 0.010 0.020 2.806
0.998 0.090 0.007 0.621
7.135 5.350 1.471 1.014
11.828 0.095 0.003 0.314
1.975 1.876 1.582 0.399
20.605 2.931 4.286 17.218
3.600 3.923 1.551 9.361
6.094 0.044 0.571 1.668
5.506 1.875 2.218 2.428
4.578 2.596 0.991 2.383
9.604 5.478 0.880 8.148
6.471 2.017 1.386 6.341
4.801 0.994 1.223 3.612
2.172 0.386 0.384 0.256
1.398 0.199 0.182 2.296
1.238 0.621 0.155 13.862
2.343 4.238 1.023 9.193
11.359 1.896 0.743 23.096
13.518 0.237 0.292 15.382
0.490 0.093 0.101 0.224
0.318 0.013 0.047 0.197
4.453 0.003 0.001 4.777
6.053 0.199 0.025 6.265
1.003 0.416 0.149 6.353
5.780 1.429 0.098 9.261
4.164 0.003 0.007 4.082
3.623 0.159 0.260 0.864
2.822 0.080 0.610 4.151
3.860 1.169 0.485 0.274
13.360 2.724 0.840 23.618
3.029 3.274 4.091 12.586
2.882 4.480 12.664 14.216
4.082 1.544 0.216 4.103
3.842 2.269 0.256 8.882
2.079 1.103 0.404 8.529
3.383 4.554 4.854 2.331
12.629 0.279 0.180 11.602
7.312 0.035 0.009 15.805
3.166 0.012 0.001 0.272
0.880 0.018 0.000 0.167
1.050 0.107 0.711 1.318
5.824 0.063 0.050 0.349
2.606 2.223 1.081 1.118
5.401 1.078 0.779 14.847
13.176 6.392 3.192 9.767
4.932 0.280 0.140 2.029
8.143 0.261 0.179 1.327
0.357 2.051 0.186 2.255
7.437 5.998 0.744 8.084
10.237 8.444 8.677 6.484
0.346 0.507 0.403 0.952
0.394 0.099 0.071 0.422
3.816 0.019 0.084 0.976
1.465 0.083 0.274 0.735
6.608 3.170 0.389 4.283
5.154 1.264 0.566 0.075
12.618 6.909 6.675 13.431
9.379 22.486 16.532 8.999
2.075 11.040 19.316 0.558
3.134 1.656 4.664 6.809
5.502 0.272 0.639 1.370
1.510 0.009 0.015 4.418
1.224 12.865 0.749 0.547
1.804 4.616 2.987 0.027
6.020 1.214 0.192 7.956
2.415 0.571 0.042 0.788
6.445 8.396 4.444 0.856
1.013 10.399 12.140 3.105
1.452 3.587 3.845 0.992
10.414 12.964 5.056 16.878
6.557 5.016 2.006 20.717
6.277 0.164 0.582 0.506
3.678 1.413 0.072 5.068
5.768 0.357 0.049 2.045
7.851 0.508 3.652 8.297
0.221 9.223 15.973 5.444
1.449 13.154 26.676 3.885
6.574 17.543 7.574 2.631
2.932 5.119 0.466 0.641
6.429 4.610 4.046 7.127
3.919 19.492 39.755 7.701
3.939 12.531 69.960 8.933
3.409 5.319 5.991 1.936
3.018 1.090 0.894 4.602
0.875 19.503 27.725 8.103
14.489 16.877 23.907 9.533
10.960 19.589 16.586 14.460
0.936 3.957 5.796 3.715
0.902 5.320 6.802 12.304
8.695 13.318 3.219 7.819
4.723 8.752 3.004 10.901
10.229 15.832 16.321 6.573
0.535 7.138 25.727 4.701
2.648 7.964 20.962 2.050
9.487 11.796 12.279 6.065
9.899 15.264 17.921 12.040
1.185 13.763 25.678 5.178
0.642 12.249 34.346 12.501
0.539 17.018 30.525 1.079
0.462 7.104 7.295 5.523
0.127 2.201 0.132 0.751
0.203 5.791 0.448 8.612
0.164 4.531 1.299 1.325
0.314 3.241 0.570 2.238
0.296 14.261 16.765 7.283
3.442 9.359 21.327 14.974
1.099 8.516 18.753 0.084
2.688 5.310 14.749 1.331
5.446 8.548 14.111 10.840
5.971 8.663 8.632 0.656
2.348 1.467 0.591 1.789
5.714 7.184 2.971 0.754
4.607 2.579 3.858 1.134
2.224 5.496 0.931 16.045
0.894 8.212 4.631 9.044
3.015 5.434 0.609 0.365
0.072 4.014 3.038 0.140
0.912 2.553 10.789 0.280
1.267 8.771 16.154 3.413
1.326 1.795 15.214 7.587
1.327 5.449 3.653 2.851
5.168 0.729 0.523 11.749
0.464 5.032 2.572 4.047
1.533 0.541 0.197 0.651
0.009 0.001 0.001 0.029
0.005 0.024 0.224 0.001
0.004 0.085 0.109 0.005
0.003 0.468 0.513 0.342
0.001 0.722 1.905 0.077
0.003 5.653 3.377 0.135
5.965 1.070 0.378 1.596
0.097 1.752 0.028 0.385
0.232 0.038 0.094 1.039
0.184 0.479 0.173 0.735
1.253 0.235 1.480 0.928
0.942 4.516 8.870 4.629
0.052 0.021 0.027 0.176
0.014 5.484 2.077 0.606
0.001 0.909 4.675 0.127
0.085 0.134 1.978 0.086
0.007 0.747 0.532 0.060
0.087 3.662 3.611 0.253
0.001 8.771 1.813 0.127
0.002 0.006 0.002 0.002
0.000 0.014 0.020 0.007
0.001 0.160 0.192 0.127
0.005 0.015 0.011 0.036
0.075 0.002 0.002 0.336
0.262 0.016 0.001 0.141
0.002 0.057 0.030 0.002
0.001 0.012 0.027 0.002
0.000 0.000 0.000 0.000
0.492 0.002 0.003 0.096
0.084 0.339 0.008 0.062
2.329 0.123 0.001 0.281
0.001 0.022 0.002 0.011
0.050 0.001 0.039 0.024
0.141 0.001 0.001 0.001
0.480 0.001 0.001 0.071
0.406 0.001 0.001 0.067
0.232 0.000 0.000 0.000
0.007 0.002 0.002 0.117
0.014 0.003 0.003 0.003
0.176 0.002 0.002 0.002
0.174 0.003 0.036 0.004
0.129 0.106 2.580 9.330
2.299 4.338 5.416 3.565
0.079 0.115 0.002 0.395
0.776 0.046 0.050 3.861
0.325 0.467 0.198 0.784
1.317 3.175 3.182 1.566
2.583 10.898 1.933 5.701
4.141 3.606 1.098 9.216
6.268 10.012 0.326 5.846
0.898 0.128 0.099 4.867
1.817 6.103 3.623 2.343
1.823 9.318 2.930 8.023
4.333 1.772 3.022 6.592
6.819 10.634 6.769 10.392
12.553 10.575 11.556 4.856
0.943 2.045 1.315 3.763
0.758 9.544 6.697 1.981
0.046 5.852 4.666 1.807
1.216 22.030 12.065 9.548
0.676 4.668 6.971 2.228
3.179 1.922 7.246 5.448
0.315 7.855 22.288 4.214
0.163 3.087 3.400 0.067
1.515 2.335 11.130 2.355
1.114 0.181 0.154 1.155
1.300 0.002 0.038 1.662
0.845 0.000 0.002 0.298
0.668 0.280 0.064 0.873
0.825 1.400 1.409 0.953
2.926 0.112 0.019 1.944
0.688 0.004 0.005 0.367
0.072 0.109 0.017 0.263
0.291 0.317 0.216 0.148
0.511 0.007 0.078 1.420
0.346 0.023 0.025 0.038
0.641 0.076 0.067 12.728
0.374 2.094 0.055 2.657
0.786 0.254 0.043 10.620
0.512 0.001 0.023 3.022
0.135 0.006 0.002 0.616
0.326 0.330 0.008 0.287
6.057 2.097 0.112 15.351
1.449 0.087 0.232 9.226
0.278 0.121 0.013 0.616
3.934 0.184 0.078 6.306
0.237 0.516 0.327 0.771
0.355 0.032 0.126 0.352
3.371 0.336 0.079 0.142
2.352 1.608 1.118 5.174
9.059 6.115 10.582 19.835
0.961 7.618 9.893 0.117
0.384 2.666 4.357 0.058
1.000 2.590 0.313 2.776
11.124 7.107 2.052 8.486
13.709 10.490 8.703 10.543
1.287 16.569 18.602 13.244
8.172 6.204 9.480 6.262
2.726 0.972 0.268 8.366
2.375 0.102 0.010 8.073
2.552 0.031 0.098 4.004
3.252 4.589 4.391 2.260
4.640 3.189 2.564 12.503
3.607 10.205 16.412 7.137
14.753 19.548 13.578 10.827
3.114 19.457 19.744 17.964
0.179 9.687 7.921 4.002
10.362 15.178 13.402 3.524
0.575 0.579 1.309 2.315
0.905 1.415 1.023 2.644
6.808 13.968 17.443 15.056
8.605 10.723 13.397 8.423
4.850 0.818 1.812 5.423
28.813 17.857 25.924 6.132
0.734 13.829 10.248 0.370
